EPOCH,LeNet_Train_Acc,LeNet_Train_Loss,LeNet_Valid_Acc,LenNet_Valid_Loss,VGGNet_Train_Acc,VGGNet_Train_Loss,VGGNet_Valid_Acc,VGGNet_Valid_Loss
1,75.26695379612019,80.2571199316932,75.37414969770816,78.71259727310431,23.489385560512265,276.6960535444626,24.6938775320983,269.2900935835849
2,87.96860266571524,41.51409584391375,85.03401361355165,48.7793704610563,46.983868090648095,164.37555503041958,46.32653064738596,166.386721004582
3,89.71686332475343,32.8472264327122,84.12698411346834,48.683417459818926,67.96044751410486,97.81774600354984,67.07482995630122,99.10534856786455
4,90.90190881520935,28.50004533328217,84.51247169046988,54.35344430413139,81.66619944458219,54.58264085739383,80.52154193930075,55.075400640011196
5,95.08906954815365,16.44202275349545,89.18367344776249,37.18391215051747,88.02212084915517,34.256785835296746,89.68253971497758,33.511875737032135
6,95.91987563393562,13.303875961839413,89.61451250409323,34.93728085710348,91.09559366971534,26.599489636275862,92.47165531257923,24.97808961630843
7,95.42546955834757,14.089476523086436,88.5714286011633,39.643997249508686,94.46469074135426,16.00358671373656,94.73922903305278,16.3191680036249
8,96.74303626494049,10.12151945457173,88.82086170773925,40.11083956528957,96.22314534009531,11.875814141204073,96.66666669640142,11.583091671953518
9,98.15489691378477,6.366051020422886,91.31519277349892,31.718514952729425,95.36685440505619,13.877145559493394,95.37414966527025,14.782472785614884
10,98.30780600932745,5.69381127236143,91.40589571864157,32.07536696074311,98.21860903707945,6.26121820251239,97.4603174900522,8.175978242652532
11,98.59578480593288,4.331023493308093,91.20181403733166,30.99418215794159,99.14880603481231,3.9366367434372793,97.86848075806148,7.452820957215716
12,98.54226662249292,4.482578457247916,90.79365076932235,38.141179775743225,99.18958179362369,3.5778896671725855,97.91383222928123,7.890698907050464
13,97.78281811463086,6.464082207934172,89.45578231833149,48.025644345442885,99.26603634139504,2.610266656189814,98.5487528101387,5.5887532190060885
14,98.62636662504141,4.191942638690089,91.72335598744505,34.11961248778589,99.42913937664059,2.2969307082975488,97.95918365184411,7.100371050245339
15,98.62891510996712,4.099300048048706,92.67573696415441,29.427898702803784,99.39600907260633,2.171566911370188,98.4353741280346,5.802630171957449
16,98.59323632100715,4.030764593526796,93.01587302127932,27.647714379198398,99.35778179872065,2.544189219347677,97.89115646799135,8.037658694359889
17,99.28387573587506,2.308919835846518,92.7664399120002,32.39677317942601,99.59224241188613,1.63093770683027,98.9569161024764,3.930197886945798
18,99.151354519738,2.5076776836034207,92.3356009124358,36.974124241892966,99.53362725859478,1.681220169651866,99.1383220251996,3.9722128388229243
19,98.75888784117842,3.8034461502130696,92.85714283281445,34.84078330109387,99.72221514309743,1.0191184487067901,98.8888888942952,4.613453278113
20,98.78182420550982,3.8109948897396593,93.35600907299795,35.19256361403561,99.70182726369174,1.1012917475816788,99.00226757369614,3.473674114279364
21,99.58714544203472,1.3277040033295109,93.7414966283742,30.605126570697976,99.6967302938403,0.9567290113769624,99.04761904761905,3.885446501397036
22,98.90415148194398,3.1821320021004427,91.47392292952593,40.88095360937488,99.66869695965748,1.0399392691406912,98.48072565061436,5.423216844516769
23,99.36033028364635,1.9241617763020693,93.42403625685073,32.418700956522954,99.73495756772598,0.9097357649721987,99.22902494331066,4.008878260486853
24,99.8241545401259,0.6686367209407127,94.05895691880293,33.710991645839265,99.85983332908586,0.531742636221173,99.09297052154194,3.224810564371033
25,99.5438211982976,1.3664046583560117,93.3786847829278,34.892731849139516,99.74005453757741,0.904195105217183,99.18367346938776,3.4773932073961693
26,98.30780600932745,4.830377314613483,90.38548752834468,48.65431077419515,99.81650908534876,0.843686302262814,99.11564626120656,4.0371608582982175
27,99.0137363337496,2.9020672651002632,93.99092970791858,32.24731165225386,99.87512423864014,0.42511786247864736,99.20634920634922,2.9879777635475855
28,99.74005453757741,0.7658866558451709,93.78684804823394,34.852636113000024,99.74260302250312,1.0814065528159433,99.02494333768918,3.4849422699727977
29,99.30171513035499,2.11993039039966,92.74376419936718,35.868173991101216,99.84963938938301,0.5932571765686494,99.18367346938776,2.831359775168325
30,99.27113331124646,2.146097050999036,93.4693877578052,34.960047027089125,99.88786666326868,0.43025112405561344,99.04761907465063,3.3970127225624758
