EPOCH,LeNet_Train_Acc,LeNet_Train_Loss,LeNet_Valid_Acc,LenNet_Valid_Loss,VGGNet_Train_Acc,VGGNet_Train_Loss,VGGNet_Valid_Acc,VGGNet_Valid_Loss
1,79.9638115142068,65.78626415319327,78.25396823504614,68.7221815242789,,,,
2,90.20872091556768,33.726193697895674,85.73696145395033,47.18493557114855,,,,
3,94.30413619103443,19.969061740866255,89.72789113483731,35.24977725193479,,,,
4,94.864802874691,16.697242368146433,89.68253971227442,36.19092113386983,,,,
5,97.58658477535104,9.122553514429416,92.83446714991615,26.022812247724016,,,,
6,95.84087260123857,13.01949103068549,89.6371882140231,37.98166037710329,,,,
7,97.88730599658503,6.8557532758398665,91.38321996005484,35.72123046247964,,,,
8,98.13196054945334,5.881403076082385,91.79138324968939,31.856536587813327,,,,
9,98.84043935880119,3.940974773935526,92.44897962157148,31.451949247681675,,,,
10,98.62636662504141,4.178666597012297,92.2222222033001,35.409055969470906,,,,
11,98.89650602716685,3.2594031398367944,92.15419499241577,37.7982313417771,,,,
12,97.49483931802544,7.311692328317912,89.65986397531297,53.399530850707265,,,,
13,99.47246362037768,1.878530128977348,92.6530612569277,36.82955691381882,,,,
14,99.20487270317795,2.4733933938278065,92.65306120827084,35.4980152851507,,,,
15,99.72476362802314,1.1109341104102295,92.04081630490535,42.34914813752164,,,,
16,99.25074543184077,2.2179290793602853,92.17687072937721,43.389854125971105,,,,
17,99.68908483906318,1.122477680639463,92.76643988496862,42.55680926641148,,,,
18,99.24309997706364,2.4141674621698916,91.79138320103255,42.78997386750013,,,,
19,99.17174239914371,2.6102548698706918,92.01814059497548,51.84656743499526,,,,
20,99.584596957109,1.1862231352899801,93.51473925875968,36.53839182729679,,,,
21,99.37562119320064,1.949344034110218,92.85714283551759,46.91291416085739,,,,
22,99.55911210785187,1.2552780845518439,93.08390026189844,45.33768909993302,,,,
23,99.68908483906318,0.9967276401775884,93.10657596642199,43.78311719649059,,,,
24,99.78337878131451,0.8177996226311725,94.08163265576438,39.63213816960626,,,,
25,99.69927877876601,0.8836096313595792,93.62811791653536,43.84018228853639,,,,
26,99.62537271592039,1.0859252408833977,92.26757372317671,49.463056520566475,,,,
27,99.37307270827493,1.884351370692105,91.54195008905026,62.244796831690465,,,,
28,99.62282423099468,1.172806565739385,92.81179135889153,50.764223023459145,,,,
29,98.92708784627538,3.1722210646200732,93.35600910002952,48.76358150201787,,,,
30,99.26858482632075,2.088876411684189,92.9931973086463,53.40976429424988,,,,
